Rk,ID,Player,Pos,Week,Team,Opp,Opp Rank,Opp Pos Rank,Salary,Projection
1,11056,Antonio Brown,WR,1,PIT,CLE,31,25,8800,20.8
2,13291,Julio Jones,WR,1,ATL,CHI,20,27,8500,19.1
3,4556,Jordy Nelson,WR,1,GB,SEA,4,17,7600,17.4
4,13460,Doug Baldwin,WR,1,SEA,GB,28,32,6700,16.9
5,16765,Amari Cooper,WR,1,OAK,TEN,19,31,7200,16.8
6,12845,AJ Green,WR,1,CIN,BAL,8,20,8000,16.7
7,14986,DeAndre Hopkins,WR,1,HOU,JAX,13,6,5900,16.4
8,5571,Larry Fitzgerald,WR,1,ARI,DET,24,24,5900,16
9,17960,Michael Thomas,WR,1,NO,MIN,5,3,7400,15.7
10,9331,Michael Crabtree,WR,1,OAK,TEN,19,31,6000,15.6
11,11270,Dez Bryant,WR,1,DAL,NYG,6,7,7500,15.6
12,16568,Brandin Cooks,WR,1,NE,KC,11,15,7700,15.5
13,16906,Stefon Diggs,WR,1,MIN,NO,30,23,6000,15.2
14,11197,Demaryius Thomas,WR,1,DEN,LAC,16,8,6300,14.8
15,11063,Emmanuel Sanders,WR,1,DEN,LAC,16,8,5200,13.8
16,14187,Alshon Jeffery,WR,1,PHI,WAS,23,13,5800,13.8
17,13693,Terrelle Pryor,WR,1,WAS,PHI,10,30,6100,13.7
18,11611,Golden Tate,WR,1,DET,ARI,7,22,6500,13.6
19,14005,TY Hilton,WR,1,IND,LAR,15,28,6900,13.6
20,6767,Pierre Garcon,WR,1,SF,CAR,25,21,5300,13.3
21,16003,Sammy Watkins,WR,1,LAR,IND,26,12,6200,13.2
22,15076,Keenan Allen,WR,1,LAC,DEN,1,1,6100,13.1
23,18082,Tyreek Hill,WR,1,KC,NE,2,9,5700,13
24,16263,Allen Robinson,WR,1,JAX,HOU,3,5,5200,13
25,16550,Kelvin Benjamin,WR,1,CAR,SF,32,26,5900,13
26,11667,Brandon Marshall,WR,1,NYG,DAL,14,11,5100,12.8
27,16866,Jamison Crowder,WR,1,WAS,PHI,10,30,5600,12.5
28,12109,Ted Ginn,WR,1,NO,MIN,5,3,4200,12.4
29,16470,Davante Adams,WR,1,GB,SEA,4,17,5200,12.4
30,16146,Martavis Bryant,WR,1,PIT,CLE,31,25,6000,12.2
31,8529,Mike Wallace,WR,1,BAL,CIN,12,2,4500,11.9
32,15534,Adam Thielen,WR,1,MIN,NO,30,23,4800,11.5
33,14828,Chris Hogan,WR,1,NE,KC,11,15,4800,11.4
34,8914,Jeremy Maclin,WR,1,BAL,CIN,12,2,5000,11.4
35,13227,Randall Cobb,WR,1,GB,SEA,4,17,5300,11.3
36,15974,Jordan Matthews,WR,1,BUF,NYJ,21,16,4400,11.2
37,11182,Eric Decker,WR,1,TEN,OAK,22,14,5000,11
38,16640,John Brown,WR,1,ARI,DET,24,24,4800,10.7
39,16768,Kevin White,WR,1,CHI,ATL,29,19,4200,10.6
40,13788,Rishard Matthews,WR,1,TEN,OAK,22,14,4200,10.6
41,14141,Cole Beasley,WR,1,DAL,NYG,6,7,4700,10.5
42,8532,Kenny Britt,WR,1,CLE,PIT,9,4,4800,10.5
43,18926,Zay Jones,WR,1,BUF,NYJ,21,16,3500,10.4
44,16232,Donte Moncrief,WR,1,IND,LAR,15,28,5000,10.4
45,17961,Sterling Shepard,WR,1,NYG,DAL,14,11,4100,10.4
46,13957,Kendall Wright,WR,1,CHI,ATL,29,19,3200,9.8
47,13878,Mohamed Sanu,WR,1,ATL,CHI,20,27,4200,9.6
48,13870,Marvin Jones,WR,1,DET,ARI,7,22,4100,9.5
49,18187,Robby Anderson,WR,1,NYJ,BUF,17,10,3800,9.4
50,16830,Tyler Lockett,WR,1,SEA,GB,28,32,4400,9.3
51,17938,Corey Coleman,WR,1,CLE,PIT,9,4,4400,9.2
52,18879,Corey Davis,WR,1,TEN,OAK,22,14,4000,8.7
